

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 494.363800
read_input: ./system/group/convolutionSeparable_hip/_Z9conv_rowsPfPKfS1_iii.txt
offline_profiling -----------
%21_%25_%29_%33_%37_%41_%45_%49, mode: 0, baseline: 494.363800, time: 513.663000, offp: -3.903846, speedup: 0.962428
%21_%25_%29_%33_%37_%41_%45_%49, mode: 1, baseline: 494.363800, time: 517.431000, offp: -4.666037, speedup: 0.955420
%54, mode: 0, baseline: 494.363800, time: 507.467000, offp: -2.650518, speedup: 0.974179
%54, mode: 1, baseline: 494.363800, time: 494.236000, offp: 0.025851, speedup: 1.000259
%62, mode: 0, baseline: 494.363800, time: 506.529000, offp: -2.460779, speedup: 0.975983
%62, mode: 1, baseline: 494.363800, time: 488.577000, offp: 1.170555, speedup: 1.011844
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 0, baseline: 494.363800, time: 494.488000, offp: -0.025123, speedup: 0.999749
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 1, baseline: 494.363800, time: 5682.724000, offp: -1049.502451, speedup: 0.086994
%21, mode: 0, baseline: 494.363800, time: 495.116000, offp: -0.152155, speedup: 0.998481
%21, mode: 1, baseline: 494.363800, time: 497.653000, offp: -0.665340, speedup: 0.993391
%25, mode: 0, baseline: 494.363800, time: 494.392000, offp: -0.005704, speedup: 0.999943
%25, mode: 1, baseline: 494.363800, time: 499.738000, offp: -1.087094, speedup: 0.989246
%29, mode: 0, baseline: 494.363800, time: 495.776000, offp: -0.285660, speedup: 0.997152
%29, mode: 1, baseline: 494.363800, time: 510.608000, offp: -3.285880, speedup: 0.968187
%33, mode: 0, baseline: 494.363800, time: 494.146000, offp: 0.044057, speedup: 1.000441
%33, mode: 1, baseline: 494.363800, time: 500.130000, offp: -1.166388, speedup: 0.988471
%37, mode: 0, baseline: 494.363800, time: 493.894000, offp: 0.095031, speedup: 1.000951
%37, mode: 1, baseline: 494.363800, time: 497.105000, offp: -0.554490, speedup: 0.994486
%41, mode: 0, baseline: 494.363800, time: 494.169000, offp: 0.039404, speedup: 1.000394
%41, mode: 1, baseline: 494.363800, time: 497.532000, offp: -0.640864, speedup: 0.993632
%45, mode: 0, baseline: 494.363800, time: 492.592000, offp: 0.358400, speedup: 1.003597
%45, mode: 1, baseline: 494.363800, time: 497.259000, offp: -0.585642, speedup: 0.994178
%49, mode: 0, baseline: 494.363800, time: 494.156000, offp: 0.042034, speedup: 1.000421
%49, mode: 1, baseline: 494.363800, time: 495.420000, offp: -0.213648, speedup: 0.997868
%69, mode: 0, baseline: 494.363800, time: 494.278000, offp: 0.017356, speedup: 1.000174
%69, mode: 1, baseline: 494.363800, time: 487.870000, offp: 1.313567, speedup: 1.013311
%76, mode: 0, baseline: 494.363800, time: 493.919000, offp: 0.089974, speedup: 1.000901
%76, mode: 1, baseline: 494.363800, time: 489.343000, offp: 1.015608, speedup: 1.010260
%83, mode: 0, baseline: 494.363800, time: 493.944000, offp: 0.084917, speedup: 1.000850
%83, mode: 1, baseline: 494.363800, time: 489.788000, offp: 0.925594, speedup: 1.009342
%90, mode: 0, baseline: 494.363800, time: 494.041000, offp: 0.065296, speedup: 1.000653
%90, mode: 1, baseline: 494.363800, time: 489.895000, offp: 0.903950, speedup: 1.009122
