

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 2036.793400
read_input: ./system/group/convolutionSeparable_hip_cols/_Z9conv_colsPfPKfS1_iii.txt
offline_profiling -----------
%23_%29_%35_%41_%47_%53_%59_%65, mode: 0, baseline: 2036.793400, time: 2075.204000, offp: -1.885837, speedup: 0.981491
%23_%29_%35_%41_%47_%53_%59_%65, mode: 1, baseline: 2036.793400, time: 1785.481000, offp: 12.338630, speedup: 1.140753
%70, mode: 0, baseline: 2036.793400, time: 2031.940000, offp: 0.238286, speedup: 1.002389
%70, mode: 1, baseline: 2036.793400, time: 2037.785000, offp: -0.048684, speedup: 0.999513
%80, mode: 0, baseline: 2036.793400, time: 2029.903000, offp: 0.338296, speedup: 1.003394
%80, mode: 1, baseline: 2036.793400, time: 2036.582000, offp: 0.010379, speedup: 1.000104
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 0, baseline: 2036.793400, time: 2036.603000, offp: 0.009348, speedup: 1.000093
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 1, baseline: 2036.793400, time: 18019.154000, offp: -784.682462, speedup: 0.113035
%23, mode: 0, baseline: 2036.793400, time: 2031.910000, offp: 0.239759, speedup: 1.002403
%23, mode: 1, baseline: 2036.793400, time: 2009.349000, offp: 1.347432, speedup: 1.013658
%29, mode: 0, baseline: 2036.793400, time: 2042.002000, offp: -0.255725, speedup: 0.997449
%29, mode: 1, baseline: 2036.793400, time: 1963.883000, offp: 3.579666, speedup: 1.037126
%35, mode: 0, baseline: 2036.793400, time: 2043.298000, offp: -0.319355, speedup: 0.996817
%35, mode: 1, baseline: 2036.793400, time: 1972.723000, offp: 3.145650, speedup: 1.032478
