

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 494.136400
read_input: ./system/group/convolutionSeparable_hip/_Z9conv_rowsPfPKfS1_iii.txt
offline_profiling -----------
%21_%25_%29_%33_%37_%41_%45_%49, mode: 0, baseline: 494.136400, time: 513.641000, offp: -3.947210, speedup: 0.962027
%21_%25_%29_%33_%37_%41_%45_%49, mode: 1, baseline: 494.136400, time: 517.324000, offp: -4.692550, speedup: 0.955178
%54, mode: 0, baseline: 494.136400, time: 507.703000, offp: -2.745517, speedup: 0.973278
%54, mode: 1, baseline: 494.136400, time: 494.493000, offp: -0.072166, speedup: 0.999279
%62, mode: 0, baseline: 494.136400, time: 506.548000, offp: -2.511776, speedup: 0.975498
%62, mode: 1, baseline: 494.136400, time: 488.824000, offp: 1.075088, speedup: 1.010868
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 0, baseline: 494.136400, time: 494.314000, offp: -0.035941, speedup: 0.999641
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 1, baseline: 494.136400, time: 5678.023000, offp: -1049.080092, speedup: 0.087026
%21, mode: 0, baseline: 494.136400, time: 494.819000, offp: -0.138140, speedup: 0.998621
%21, mode: 1, baseline: 494.136400, time: 497.670000, offp: -0.715106, speedup: 0.992900
%25, mode: 0, baseline: 494.136400, time: 494.383000, offp: -0.049905, speedup: 0.999501
%25, mode: 1, baseline: 494.136400, time: 499.474000, offp: -1.080188, speedup: 0.989314
