

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 2036.640000
read_input: ./system/group/convolutionSeparable_hip_cols/_Z9conv_colsPfPKfS1_iii.txt
offline_profiling -----------
%23_%29_%35_%41_%47_%53_%59_%65, mode: 0, baseline: 2036.640000, time: 2073.295000, offp: -1.799778, speedup: 0.982320
%23_%29_%35_%41_%47_%53_%59_%65, mode: 1, baseline: 2036.640000, time: 1785.274000, offp: 12.342191, speedup: 1.140800
%70, mode: 0, baseline: 2036.640000, time: 2032.098000, offp: 0.223014, speedup: 1.002235
%70, mode: 1, baseline: 2036.640000, time: 2037.617000, offp: -0.047971, speedup: 0.999521
%80, mode: 0, baseline: 2036.640000, time: 2029.878000, offp: 0.332017, speedup: 1.003331
%80, mode: 1, baseline: 2036.640000, time: 2035.994000, offp: 0.031719, speedup: 1.000317
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 0, baseline: 2036.640000, time: 2036.692000, offp: -0.002553, speedup: 0.999974
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 1, baseline: 2036.640000, time: 18008.084000, offp: -784.205554, speedup: 0.113096
%23, mode: 0, baseline: 2036.640000, time: 2031.539000, offp: 0.250462, speedup: 1.002511
%23, mode: 1, baseline: 2036.640000, time: 2010.985000, offp: 1.259673, speedup: 1.012757
%29, mode: 0, baseline: 2036.640000, time: 2042.481000, offp: -0.286796, speedup: 0.997140
%29, mode: 1, baseline: 2036.640000, time: 1964.538000, offp: 3.540243, speedup: 1.036702
%35, mode: 0, baseline: 2036.640000, time: 2042.136000, offp: -0.269856, speedup: 0.997309
%35, mode: 1, baseline: 2036.640000, time: 1967.778000, offp: 3.381157, speedup: 1.034995
%41, mode: 0, baseline: 2036.640000, time: 2041.834000, offp: -0.255028, speedup: 0.997456
%41, mode: 1, baseline: 2036.640000, time: 1979.044000, offp: 2.827991, speedup: 1.029103
%47, mode: 0, baseline: 2036.640000, time: 2040.662000, offp: -0.197482, speedup: 0.998029
%47, mode: 1, baseline: 2036.640000, time: 1984.230000, offp: 2.573356, speedup: 1.026413
%53, mode: 0, baseline: 2036.640000, time: 2040.059000, offp: -0.167875, speedup: 0.998324
%53, mode: 1, baseline: 2036.640000, time: 1982.846000, offp: 2.641311, speedup: 1.027130
%59, mode: 0, baseline: 2036.640000, time: 2040.390000, offp: -0.184127, speedup: 0.998162
%59, mode: 1, baseline: 2036.640000, time: 1979.439000, offp: 2.808597, speedup: 1.028898
%65, mode: 0, baseline: 2036.640000, time: 2031.257000, offp: 0.264308, speedup: 1.002650
%65, mode: 1, baseline: 2036.640000, time: 2012.546000, offp: 1.183027, speedup: 1.011972
%88, mode: 0, baseline: 2036.640000, time: 2036.753000, offp: -0.005548, speedup: 0.999945
%88, mode: 1, baseline: 2036.640000, time: 2014.739000, offp: 1.075350, speedup: 1.010870
%93, mode: 0, baseline: 2036.640000, time: 2036.070000, offp: 0.027987, speedup: 1.000280
%93, mode: 1, baseline: 2036.640000, time: 2020.066000, offp: 0.813791, speedup: 1.008205
%100, mode: 0, baseline: 2036.640000, time: 2036.386000, offp: 0.012472, speedup: 1.000125
%100, mode: 1, baseline: 2036.640000, time: 2015.442000, offp: 1.040832, speedup: 1.010518
%107, mode: 0, baseline: 2036.640000, time: 2036.382000, offp: 0.012668, speedup: 1.000127
%107, mode: 1, baseline: 2036.640000, time: 2015.297000, offp: 1.047952, speedup: 1.010590
%114, mode: 0, baseline: 2036.640000, time: 2036.550000, offp: 0.004419, speedup: 1.000044
%114, mode: 1, baseline: 2036.640000, time: 2013.644000, offp: 1.129115, speedup: 1.011420
%121, mode: 0, baseline: 2036.640000, time: 2036.304000, offp: 0.016498, speedup: 1.000165
%121, mode: 1, baseline: 2036.640000, time: 2020.986000, offp: 0.768619, speedup: 1.007746
%128, mode: 0, baseline: 2036.640000, time: 2036.149000, offp: 0.024108, speedup: 1.000241
%128, mode: 1, baseline: 2036.640000, time: 2017.988000, offp: 0.915822, speedup: 1.009243
%135, mode: 0, baseline: 2036.640000, time: 2036.633000, offp: 0.000344, speedup: 1.000003
%135, mode: 1, baseline: 2036.640000, time: 2018.726000, offp: 0.879586, speedup: 1.008874
%142, mode: 0, baseline: 2036.640000, time: 2036.136000, offp: 0.024747, speedup: 1.000248
%142, mode: 1, baseline: 2036.640000, time: 2020.024000, offp: 0.815854, speedup: 1.008226
%147, mode: 0, baseline: 2036.640000, time: 2036.444000, offp: 0.009624, speedup: 1.000096
%147, mode: 1, baseline: 2036.640000, time: 2020.389000, offp: 0.797932, speedup: 1.008044
%154, mode: 0, baseline: 2036.640000, time: 2036.279000, offp: 0.017725, speedup: 1.000177
%154, mode: 1, baseline: 2036.640000, time: 2020.119000, offp: 0.811189, speedup: 1.008178
%161, mode: 0, baseline: 2036.640000, time: 2036.171000, offp: 0.023028, speedup: 1.000230
%161, mode: 1, baseline: 2036.640000, time: 2019.914000, offp: 0.821255, speedup: 1.008281
%168, mode: 0, baseline: 2036.640000, time: 2038.387000, offp: -0.085779, speedup: 0.999143
%168, mode: 1, baseline: 2036.640000, time: 2024.049000, offp: 0.618224, speedup: 1.006221
%175, mode: 0, baseline: 2036.640000, time: 2044.960000, offp: -0.408516, speedup: 0.995931
%175, mode: 1, baseline: 2036.640000, time: 2026.957000, offp: 0.475440, speedup: 1.004777
%182, mode: 0, baseline: 2036.640000, time: 2041.204000, offp: -0.224095, speedup: 0.997764
%182, mode: 1, baseline: 2036.640000, time: 2027.286000, offp: 0.459286, speedup: 1.004614
%189, mode: 0, baseline: 2036.640000, time: 2041.204000, offp: -0.224095, speedup: 0.997764
%189, mode: 1, baseline: 2036.640000, time: 2024.567000, offp: 0.592790, speedup: 1.005963
%195, mode: 0, baseline: 2036.640000, time: 2041.457000, offp: -0.236517, speedup: 0.997640
%195, mode: 1, baseline: 2036.640000, time: 2030.805000, offp: 0.286501, speedup: 1.002873
%203, mode: 0, baseline: 2036.640000, time: 2041.588000, offp: -0.242949, speedup: 0.997576
%203, mode: 1, baseline: 2036.640000, time: 2008.214000, offp: 1.395730, speedup: 1.014155
%209, mode: 0, baseline: 2036.640000, time: 2041.015000, offp: -0.214815, speedup: 0.997856
%209, mode: 1, baseline: 2036.640000, time: 2007.931000, offp: 1.409626, speedup: 1.014298
%215, mode: 0, baseline: 2036.640000, time: 2041.598000, offp: -0.243440, speedup: 0.997572
%215, mode: 1, baseline: 2036.640000, time: 2008.384000, offp: 1.387383, speedup: 1.014069
%221, mode: 0, baseline: 2036.640000, time: 2041.226000, offp: -0.225175, speedup: 0.997753
%221, mode: 1, baseline: 2036.640000, time: 2006.458000, offp: 1.481951, speedup: 1.015042
%227, mode: 0, baseline: 2036.640000, time: 2041.094000, offp: -0.218694, speedup: 0.997818
%227, mode: 1, baseline: 2036.640000, time: 2007.363000, offp: 1.437515, speedup: 1.014585
%233, mode: 0, baseline: 2036.640000, time: 2040.935000, offp: -0.210887, speedup: 0.997896
%233, mode: 1, baseline: 2036.640000, time: 2006.843000, offp: 1.463047, speedup: 1.014848
%239, mode: 0, baseline: 2036.640000, time: 2041.403000, offp: -0.233866, speedup: 0.997667
%239, mode: 1, baseline: 2036.640000, time: 2007.751000, offp: 1.418464, speedup: 1.014389
%245, mode: 0, baseline: 2036.640000, time: 2040.805000, offp: -0.204503, speedup: 0.997959
%245, mode: 1, baseline: 2036.640000, time: 2008.488000, offp: 1.382277, speedup: 1.014017
%251, mode: 0, baseline: 2036.640000, time: 2041.078000, offp: -0.217908, speedup: 0.997826
%251, mode: 1, baseline: 2036.640000, time: 2009.793000, offp: 1.318201, speedup: 1.013358
%255, mode: 0, baseline: 2036.640000, time: 2041.686000, offp: -0.247761, speedup: 0.997529
%255, mode: 1, baseline: 2036.640000, time: 2009.227000, offp: 1.345991, speedup: 1.013644
%261, mode: 0, baseline: 2036.640000, time: 2040.934000, offp: -0.210837, speedup: 0.997896
%261, mode: 1, baseline: 2036.640000, time: 2009.379000, offp: 1.338528, speedup: 1.013567
%267, mode: 0, baseline: 2036.640000, time: 2041.008000, offp: -0.214471, speedup: 0.997860
%267, mode: 1, baseline: 2036.640000, time: 2008.718000, offp: 1.370984, speedup: 1.013900
%273, mode: 0, baseline: 2036.640000, time: 2040.943000, offp: -0.211279, speedup: 0.997892
%273, mode: 1, baseline: 2036.640000, time: 2008.594000, offp: 1.377072, speedup: 1.013963
%279, mode: 0, baseline: 2036.640000, time: 2041.663000, offp: -0.246632, speedup: 0.997540
%279, mode: 1, baseline: 2036.640000, time: 2014.432000, offp: 1.090423, speedup: 1.011024
%285, mode: 0, baseline: 2036.640000, time: 2041.476000, offp: -0.237450, speedup: 0.997631
%285, mode: 1, baseline: 2036.640000, time: 2009.327000, offp: 1.341081, speedup: 1.013593
%291, mode: 0, baseline: 2036.640000, time: 2041.404000, offp: -0.233915, speedup: 0.997666
%291, mode: 1, baseline: 2036.640000, time: 2010.513000, offp: 1.282848, speedup: 1.012995
%297, mode: 0, baseline: 2036.640000, time: 2041.470000, offp: -0.237155, speedup: 0.997634
%297, mode: 1, baseline: 2036.640000, time: 2010.557000, offp: 1.280688, speedup: 1.012973
%306, mode: 0, baseline: 2036.640000, time: 2040.866000, offp: -0.207499, speedup: 0.997929
%306, mode: 1, baseline: 2036.640000, time: 1999.289000, offp: 1.833952, speedup: 1.018682
%312, mode: 0, baseline: 2036.640000, time: 2045.310000, offp: -0.425701, speedup: 0.995761
%312, mode: 1, baseline: 2036.640000, time: 1999.523000, offp: 1.822462, speedup: 1.018563
%318, mode: 0, baseline: 2036.640000, time: 2041.540000, offp: -0.240592, speedup: 0.997600
%318, mode: 1, baseline: 2036.640000, time: 1998.577000, offp: 1.868912, speedup: 1.019045
%324, mode: 0, baseline: 2036.640000, time: 2040.896000, offp: -0.208972, speedup: 0.997915
%324, mode: 1, baseline: 2036.640000, time: 1998.458000, offp: 1.874754, speedup: 1.019106
%330, mode: 0, baseline: 2036.640000, time: 2041.014000, offp: -0.214765, speedup: 0.997857
%330, mode: 1, baseline: 2036.640000, time: 1998.320000, offp: 1.881530, speedup: 1.019176
%336, mode: 0, baseline: 2036.640000, time: 2041.613000, offp: -0.244177, speedup: 0.997564
%336, mode: 1, baseline: 2036.640000, time: 1999.467000, offp: 1.825212, speedup: 1.018591
%342, mode: 0, baseline: 2036.640000, time: 2041.193000, offp: -0.223554, speedup: 0.997769
%342, mode: 1, baseline: 2036.640000, time: 1994.909000, offp: 2.049012, speedup: 1.020919
%348, mode: 0, baseline: 2036.640000, time: 2040.939000, offp: -0.211083, speedup: 0.997894
%348, mode: 1, baseline: 2036.640000, time: 1994.000000, offp: 2.093644, speedup: 1.021384
%354, mode: 0, baseline: 2036.640000, time: 2045.261000, offp: -0.423295, speedup: 0.995785
%354, mode: 1, baseline: 2036.640000, time: 1999.144000, offp: 1.841072, speedup: 1.018756
%358, mode: 0, baseline: 2036.640000, time: 2041.367000, offp: -0.232098, speedup: 0.997684
%358, mode: 1, baseline: 2036.640000, time: 2000.139000, offp: 1.792217, speedup: 1.018249
%364, mode: 0, baseline: 2036.640000, time: 2044.649000, offp: -0.393246, speedup: 0.996083
%364, mode: 1, baseline: 2036.640000, time: 2000.519000, offp: 1.773558, speedup: 1.018056
%370, mode: 0, baseline: 2036.640000, time: 2044.902000, offp: -0.405668, speedup: 0.995960
%370, mode: 1, baseline: 2036.640000, time: 2001.732000, offp: 1.714000, speedup: 1.017439
%376, mode: 0, baseline: 2036.640000, time: 2041.239000, offp: -0.225813, speedup: 0.997747
%376, mode: 1, baseline: 2036.640000, time: 1998.461000, offp: 1.874607, speedup: 1.019104
%382, mode: 0, baseline: 2036.640000, time: 2041.206000, offp: -0.224193, speedup: 0.997763
%382, mode: 1, baseline: 2036.640000, time: 1998.956000, offp: 1.850302, speedup: 1.018852
%388, mode: 0, baseline: 2036.640000, time: 2040.362000, offp: -0.182752, speedup: 0.998176
%388, mode: 1, baseline: 2036.640000, time: 1997.816000, offp: 1.906277, speedup: 1.019433
%394, mode: 0, baseline: 2036.640000, time: 2044.762000, offp: -0.398794, speedup: 0.996028
