

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 494.455200
read_input: ./system/group/convolutionSeparable_hip/_Z9conv_rowsPfPKfS1_iii.txt
offline_profiling -----------
%21_%25_%29_%33_%37_%41_%45_%49, mode: 0, baseline: 494.455200, time: 513.000000, offp: -3.750552, speedup: 0.963850
%21_%25_%29_%33_%37_%41_%45_%49, mode: 1, baseline: 494.455200, time: 517.932000, offp: -4.748014, speedup: 0.954672
%54, mode: 0, baseline: 494.455200, time: 508.121000, offp: -2.763810, speedup: 0.973105
%54, mode: 1, baseline: 494.455200, time: 495.110000, offp: -0.132429, speedup: 0.998677
%62, mode: 0, baseline: 494.455200, time: 506.797000, offp: -2.496040, speedup: 0.975647
%62, mode: 1, baseline: 494.455200, time: 488.759000, offp: 1.152015, speedup: 1.011654
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 0, baseline: 494.455200, time: 494.871000, offp: -0.084093, speedup: 0.999160
%69_%76_%83_%90_%97_%104_%111_%118_%125_%130_%137_%144_%151_%158_%165_%172_%178_%185_%191_%197_%203_%209_%215_%221_%227_%233_%237_%243_%249_%255_%261_%267_%273_%279_%286_%292_%298_%304_%310_%316_%322_%328_%334_%338_%344_%350_%356_%362_%368_%374_%380_%387_%393_%399_%405_%411_%417_%423_%429_%435_%439_%445_%451_%457_%463_%469_%475_%481_%488_%494_%500_%506_%512_%518_%524_%530_%536_%540_%546_%552_%558_%564_%570_%576_%582_%589_%595_%601_%607_%613_%619_%625_%631_%637_%641_%647_%653_%659_%665_%671_%677_%683_%690_%696_%702_%708_%714_%720_%726_%732_%738_%742_%748_%754_%760_%766_%772_%778_%784_%791_%797_%803_%809_%815_%821_%827_%833_%839_%843_%849_%855_%861_%867_%873_%879_%885, mode: 1, baseline: 494.455200, time: 5691.170000, offp: -1050.998109, speedup: 0.086881
%21, mode: 0, baseline: 494.455200, time: 495.329000, offp: -0.176720, speedup: 0.998236
%21, mode: 1, baseline: 494.455200, time: 497.440000, offp: -0.603654, speedup: 0.994000
%25, mode: 0, baseline: 494.455200, time: 494.683000, offp: -0.046071, speedup: 0.999540
%25, mode: 1, baseline: 494.455200, time: 499.846000, offp: -1.090250, speedup: 0.989215
%29, mode: 0, baseline: 494.455200, time: 495.990000, offp: -0.310402, speedup: 0.996906
%29, mode: 1, baseline: 494.455200, time: 510.072000, offp: -3.158385, speedup: 0.969383
%33, mode: 0, baseline: 494.455200, time: 494.489000, offp: -0.006836, speedup: 0.999932
%33, mode: 1, baseline: 494.455200, time: 500.229000, offp: -1.167709, speedup: 0.988458
%37, mode: 0, baseline: 494.455200, time: 494.305000, offp: 0.030377, speedup: 1.000304
%37, mode: 1, baseline: 494.455200, time: 497.160000, offp: -0.547026, speedup: 0.994559
%41, mode: 0, baseline: 494.455200, time: 494.700000, offp: -0.049509, speedup: 0.999505
%41, mode: 1, baseline: 494.455200, time: 497.582000, offp: -0.632373, speedup: 0.993716
%45, mode: 0, baseline: 494.455200, time: 493.050000, offp: 0.284192, speedup: 1.002850
%45, mode: 1, baseline: 494.455200, time: 497.244000, offp: -0.564015, speedup: 0.994391
%49, mode: 0, baseline: 494.455200, time: 494.251000, offp: 0.041298, speedup: 1.000413
%49, mode: 1, baseline: 494.455200, time: 495.717000, offp: -0.255190, speedup: 0.997455
%69, mode: 0, baseline: 494.455200, time: 494.532000, offp: -0.015532, speedup: 0.999845
%69, mode: 1, baseline: 494.455200, time: 488.089000, offp: 1.287518, speedup: 1.013043
%76, mode: 0, baseline: 494.455200, time: 494.469000, offp: -0.002791, speedup: 0.999972
%76, mode: 1, baseline: 494.455200, time: 489.763000, offp: 0.948964, speedup: 1.009581
%83, mode: 0, baseline: 494.455200, time: 494.818000, offp: -0.073374, speedup: 0.999267
%83, mode: 1, baseline: 494.455200, time: 489.835000, offp: 0.934402, speedup: 1.009432
%90, mode: 0, baseline: 494.455200, time: 494.280000, offp: 0.035433, speedup: 1.000354
%90, mode: 1, baseline: 494.455200, time: 490.017000, offp: 0.897594, speedup: 1.009057
%97, mode: 0, baseline: 494.455200, time: 494.770000, offp: -0.063666, speedup: 0.999364
%97, mode: 1, baseline: 494.455200, time: 490.260000, offp: 0.848449, speedup: 1.008557
%104, mode: 0, baseline: 494.455200, time: 494.503000, offp: -0.009667, speedup: 0.999903
%104, mode: 1, baseline: 494.455200, time: 489.673000, offp: 0.967165, speedup: 1.009766
%111, mode: 0, baseline: 494.455200, time: 494.775000, offp: -0.064677, speedup: 0.999354
%111, mode: 1, baseline: 494.455200, time: 489.594000, offp: 0.983143, speedup: 1.009929
%118, mode: 0, baseline: 494.455200, time: 494.594000, offp: -0.028071, speedup: 0.999719
%118, mode: 1, baseline: 494.455200, time: 489.924000, offp: 0.916403, speedup: 1.009249
%125, mode: 0, baseline: 494.455200, time: 494.611000, offp: -0.031509, speedup: 0.999685
%125, mode: 1, baseline: 494.455200, time: 490.300000, offp: 0.840359, speedup: 1.008475
%130, mode: 0, baseline: 494.455200, time: 494.670000, offp: -0.043442, speedup: 0.999566
%130, mode: 1, baseline: 494.455200, time: 489.599000, offp: 0.982131, speedup: 1.009919
%137, mode: 0, baseline: 494.455200, time: 494.461000, offp: -0.001173, speedup: 0.999988
%137, mode: 1, baseline: 494.455200, time: 489.889000, offp: 0.923481, speedup: 1.009321
%144, mode: 0, baseline: 494.455200, time: 494.430000, offp: 0.005097, speedup: 1.000051
%144, mode: 1, baseline: 494.455200, time: 489.675000, offp: 0.966761, speedup: 1.009762
%151, mode: 0, baseline: 494.455200, time: 494.828000, offp: -0.075396, speedup: 0.999247
%151, mode: 1, baseline: 494.455200, time: 489.961000, offp: 0.908920, speedup: 1.009173
%158, mode: 0, baseline: 494.455200, time: 494.298000, offp: 0.031793, speedup: 1.000318
