

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
baseline_time: 2035.969400
read_input: ./system/group/convolutionSeparable_hip_cols/_Z9conv_colsPfPKfS1_iii.txt
offline_profiling -----------
%23_%29_%35_%41_%47_%53_%59_%65, mode: 0, baseline: 2035.969400, time: 2073.753000, offp: -1.855804, speedup: 0.981780
%23_%29_%35_%41_%47_%53_%59_%65, mode: 1, baseline: 2035.969400, time: 1784.774000, offp: 12.337877, speedup: 1.140744
%70, mode: 0, baseline: 2035.969400, time: 2031.823000, offp: 0.203657, speedup: 1.002041
%70, mode: 1, baseline: 2035.969400, time: 2036.228000, offp: -0.012702, speedup: 0.999873
%80, mode: 0, baseline: 2035.969400, time: 2029.507000, offp: 0.317411, speedup: 1.003184
%80, mode: 1, baseline: 2035.969400, time: 2035.185000, offp: 0.038527, speedup: 1.000385
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 0, baseline: 2035.969400, time: 2035.796000, offp: 0.008517, speedup: 1.000085
%88_%93_%100_%107_%114_%121_%128_%135_%142_%147_%154_%161_%168_%175_%182_%189_%195_%203_%209_%215_%221_%227_%233_%239_%245_%251_%255_%261_%267_%273_%279_%285_%291_%297_%306_%312_%318_%324_%330_%336_%342_%348_%354_%358_%364_%370_%376_%382_%388_%394_%400_%409_%415_%421_%427_%433_%439_%445_%451_%457_%461_%467_%473_%479_%485_%491_%497_%503_%512_%518_%524_%530_%536_%542_%548_%554_%560_%564_%570_%576_%582_%588_%594_%600_%606_%615_%621_%627_%633_%639_%645_%651_%657_%663_%667_%673_%679_%685_%691_%697_%703_%709_%718_%724_%730_%736_%742_%748_%754_%760_%766_%770_%776_%782_%788_%794_%800_%806_%812_%821_%827_%833_%839_%845_%851_%857_%863_%869_%873_%879_%885_%891_%897_%903_%909_%915, mode: 1, baseline: 2035.969400, time: 17981.768000, offp: -783.204237, speedup: 0.113224
%23, mode: 0, baseline: 2035.969400, time: 2031.329000, offp: 0.227921, speedup: 1.002284
